,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
123,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,56,0.6260444521903992,0.4805999994277954
124,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,57,0.6336888670921326,0.4918000102043152
125,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,58,0.6289777755737305,0.4821999967098236
126,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,59,0.6258888840675354,0.48420000076293945
127,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,60,0.6441555619239807,0.483599990606308
128,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,61,0.640666663646698,0.4869999885559082
129,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,62,0.646399974822998,0.49380001425743103
130,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,63,0.6405555605888367,0.4903999865055084
131,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,64,0.6429111361503601,0.4893999993801117
132,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,65,0.6515111327171326,0.48919999599456787
133,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,66,0.6514444351196289,0.49219998717308044
134,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,1,0.23864445090293884,0.24199999868869781
135,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,2,0.32784444093704224,0.3179999887943268
136,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,3,0.35937777161598206,0.3440000116825104
137,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,4,0.38093334436416626,0.36320000886917114
138,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,5,0.39151111245155334,0.3822000026702881
139,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,6,0.3926222324371338,0.3723999857902527
140,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,7,0.425555557012558,0.40459999442100525
141,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,8,0.4210444390773773,0.39879998564720154
142,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,9,0.42571112513542175,0.4027999937534332
143,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,10,0.4453999996185303,0.41679999232292175
144,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,11,0.442288875579834,0.4047999978065491
145,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,12,0.4449555575847626,0.4124000072479248
146,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,13,0.4692666530609131,0.42800000309944153
147,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,14,0.4676666557788849,0.4341999888420105
148,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,15,0.4691111147403717,0.4230000078678131
149,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,16,0.4781111180782318,0.4339999854564667
150,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,17,0.4867333471775055,0.43639999628067017
151,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,18,0.4891333281993866,0.43799999356269836
152,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,19,0.5026222467422485,0.44859999418258667
153,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,20,0.5058000087738037,0.45239999890327454
